period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-16T06,0.02%,58.19%,0.42%,12.26%,29.11%,15.48,17.64
2023-01-16T07,0.02%,57.14%,0.44%,12.99%,29.40%,15.37,17.58
2023-01-16T08,0.02%,56.61%,0.47%,13.96%,28.93%,15.53,17.84
2023-01-16T09,0.03%,58.29%,0.51%,14.84%,26.33%,16.17,18.62
2023-01-16T10,0.02%,55.69%,0.53%,15.40%,28.36%,15.78,18.26
2023-01-16T11,0.03%,55.45%,0.52%,15.29%,28.72%,15.64,18.09
2023-01-16T12,0.03%,54.63%,0.52%,15.14%,29.69%,15.49,17.92
2023-01-16T13,0.03%,57.17%,0.50%,14.55%,27.76%,15.90,18.32
2023-01-16T14,0.02%,57.50%,0.46%,13.50%,28.52%,15.63,17.91
2023-01-16T15,0.02%,55.27%,0.42%,12.61%,31.67%,14.83,16.95
2023-01-16T16,0.02%,51.63%,0.41%,11.90%,36.04%,13.97,16.00
2023-01-16T17,0.02%,45.52%,0.36%,10.68%,43.42%,12.37,14.18
2023-01-16T18,0.02%,41.10%,0.34%,9.88%,48.65%,11.24,12.90
2023-01-16T19,0.02%,37.64%,0.34%,10.10%,51.90%,10.58,12.22
2023-01-16T20,0.02%,37.25%,0.35%,10.31%,52.07%,10.56,12.22
2023-01-16T21,0.02%,37.96%,0.35%,10.14%,51.54%,10.66,12.31
2023-01-16T22,0.02%,38.62%,0.36%,10.48%,50.52%,10.89,12.59
2023-01-16T23,0.02%,37.84%,0.37%,10.95%,50.80%,10.86,12.60
2023-01-17T00,0.02%,45.15%,0.39%,11.48%,42.97%,12.47,14.35
2023-01-17T01,0.02%,51.06%,0.37%,11.12%,37.42%,13.60,15.51
2023-01-17T02,0.02%,52.04%,0.35%,10.40%,37.19%,13.61,15.45
2023-01-17T03,0.02%,53.15%,0.35%,10.51%,35.97%,13.83,15.68
2023-01-17T04,0.01%,54.38%,0.37%,10.78%,34.46%,14.23,16.16
2023-01-17T05,0.02%,56.03%,0.39%,11.26%,32.31%,14.75,16.77
2023-01-17T06,0.02%,56.73%,0.41%,11.89%,30.96%,15.03,17.11
2023-01-17T07,0.02%,58.48%,0.43%,12.56%,28.51%,15.58,17.77
2023-01-17T08,0.02%,54.99%,0.46%,13.52%,31.01%,15.12,17.38
2023-01-17T09,0.02%,54.36%,0.48%,13.87%,31.26%,15.14,17.45
2023-01-17T10,0.03%,54.99%,0.49%,14.20%,30.29%,15.36,17.72
2023-01-17T11,0.03%,57.14%,0.49%,14.19%,28.15%,15.80,18.18
2023-01-17T12,0.03%,58.71%,0.50%,14.11%,26.65%,16.16,18.57
2023-01-17T13,0.02%,55.37%,0.48%,13.51%,30.62%,15.34,17.66
2023-01-17T14,0.02%,52.21%,0.42%,12.27%,35.08%,14.24,16.33
2023-01-17T15,0.01%,51.27%,0.37%,10.84%,37.50%,13.61,15.50
2023-01-17T16,0.01%,51.15%,0.35%,10.25%,38.24%,13.38,15.19
2023-01-17T17,0.01%,42.45%,0.33%,9.60%,47.61%,11.44,13.08
2023-01-17T18,0.02%,36.74%,0.34%,9.60%,53.30%,10.33,11.93
2023-01-17T19,0.01%,36.34%,0.34%,10.03%,53.28%,10.29,11.91
2023-01-17T20,0.02%,37.15%,0.35%,10.31%,52.17%,10.54,12.20
2023-01-17T21,0.02%,35.98%,0.36%,10.54%,53.10%,10.36,12.03
2023-01-17T22,0.02%,36.20%,0.36%,10.65%,52.77%,10.40,12.07
2023-01-17T23,0.02%,33.18%,0.36%,10.52%,55.92%,9.81,11.46
2023-01-18T00,0.02%,37.99%,0.37%,10.83%,50.79%,10.85,12.59
2023-01-18T01,0.02%,49.74%,0.37%,10.79%,39.07%,13.31,15.20
2023-01-18T02,0.02%,52.09%,0.36%,10.39%,37.14%,13.68,15.55
2023-01-18T03,0.01%,53.32%,0.37%,10.50%,35.79%,14.01,15.92
2023-01-18T04,0.02%,53.99%,0.38%,10.88%,34.73%,14.25,16.22
2023-01-18T05,0.02%,54.11%,0.39%,11.06%,34.42%,14.37,16.38
2023-01-18T06,0.03%,59.03%,0.41%,11.54%,29.00%,15.53,17.65
2023-01-18T07,0.03%,62.79%,0.41%,11.94%,24.83%,16.33,18.52
2023-01-18T08,0.03%,65.12%,0.45%,12.92%,21.49%,17.09,19.42
2023-01-18T09,0.02%,69.87%,0.47%,13.37%,16.26%,18.29,20.77
2023-01-18T10,0.02%,71.76%,0.48%,13.68%,14.06%,18.72,21.25
2023-01-18T11,0.02%,75.48%,0.49%,13.97%,10.04%,19.57,22.18
2023-01-18T12,0.02%,73.41%,0.52%,14.63%,11.42%,19.39,22.06
2023-01-18T13,0.02%,71.02%,0.49%,13.96%,14.51%,18.65,21.20
2023-01-18T14,0.02%,66.09%,0.45%,12.71%,20.74%,17.28,19.61
2023-01-18T15,0.01%,64.78%,0.41%,11.74%,23.07%,16.69,18.87
2023-01-18T16,0.01%,59.59%,0.38%,10.85%,29.17%,15.40,17.44
2023-01-18T17,0.02%,48.52%,0.36%,10.37%,40.73%,12.98,14.82
2023-01-18T18,0.02%,39.73%,0.37%,10.46%,49.43%,11.19,12.93
2023-01-18T19,0.02%,39.22%,0.38%,10.96%,49.42%,11.22,13.02
2023-01-18T20,0.03%,41.18%,0.40%,11.27%,47.12%,11.76,13.63
2023-01-18T21,0.03%,41.83%,0.40%,11.35%,46.39%,11.88,13.75
2023-01-18T22,0.03%,39.95%,0.41%,11.44%,48.17%,11.55,13.43
2023-01-18T23,0.03%,39.61%,0.41%,11.49%,48.47%,11.50,13.38
2023-01-19T00,0.03%,45.69%,0.41%,11.79%,42.08%,12.80,14.77
2023-01-19T01,0.03%,56.92%,0.44%,12.55%,30.05%,15.34,17.54
2023-01-19T02,0.03%,60.59%,0.42%,11.93%,27.03%,15.92,18.09
2023-01-19T03,0.02%,60.61%,0.41%,11.61%,27.35%,15.83,17.97
2023-01-19T04,0.02%,60.65%,0.42%,11.92%,26.99%,15.93,18.10
2023-01-19T05,0.01%,62.13%,0.44%,12.31%,25.12%,16.38,18.64
2023-01-19T06,0.00%,65.01%,0.45%,12.77%,21.76%,17.11,19.46
2023-01-19T07,0.00%,67.00%,0.49%,13.80%,18.71%,17.82,20.31
2023-01-19T08,0.00%,68.26%,0.51%,14.44%,16.79%,18.26,20.85
2023-01-19T09,0.00%,68.97%,0.53%,14.88%,15.62%,18.54,21.19
2023-01-19T10,0.00%,69.14%,0.54%,15.28%,15.03%,18.69,21.39
2023-01-19T11,0.00%,71.05%,0.54%,15.07%,13.34%,19.08,21.80
2023-01-19T12,0.00%,70.82%,0.54%,14.98%,13.66%,19.00,21.71
2023-01-19T13,0.00%,67.87%,0.51%,14.08%,17.54%,18.13,20.69
2023-01-19T14,0.00%,65.69%,0.45%,12.89%,20.97%,17.24,19.59
2023-01-19T15,0.01%,61.72%,0.40%,11.69%,26.18%,16.03,18.17
2023-01-19T16,0.01%,58.92%,0.37%,10.61%,30.09%,15.16,17.14
2023-01-19T17,0.01%,49.40%,0.34%,10.10%,40.14%,12.97,14.74
2023-01-19T18,0.02%,44.05%,0.36%,10.54%,45.04%,11.99,13.74
2023-01-19T19,0.01%,45.72%,0.36%,10.80%,43.10%,12.41,14.21
2023-01-19T20,0.01%,46.13%,0.37%,11.09%,42.40%,12.53,14.36
2023-01-19T21,0.01%,43.23%,0.38%,11.18%,45.20%,12.00,13.82
2023-01-19T22,0.01%,39.74%,0.38%,11.24%,48.63%,11.29,13.07
2023-01-19T23,0.01%,36.73%,0.38%,11.18%,51.70%,10.65,12.39
2023-01-20T00,-0.02%,44.59%,0.37%,11.00%,44.06%,12.18,13.98
2023-01-20T01,-0.01%,54.91%,0.37%,10.87%,33.86%,14.32,16.25
2023-01-20T02,-0.01%,56.75%,0.34%,10.30%,32.62%,14.51,16.38
2023-01-20T03,0.00%,57.47%,0.33%,10.00%,32.20%,14.58,16.42
2023-01-20T04,0.00%,57.17%,0.34%,10.19%,32.31%,14.57,16.43
2023-01-20T05,-0.01%,58.43%,0.34%,10.25%,30.99%,14.88,16.77
2023-01-20T06,-0.01%,61.23%,0.36%,10.55%,27.88%,15.54,17.51
2023-01-20T07,-0.01%,64.90%,0.37%,11.07%,23.68%,16.40,18.45
2023-01-20T08,-0.02%,65.72%,0.38%,11.68%,22.23%,16.69,18.81
2023-01-20T09,-0.01%,67.89%,0.40%,11.71%,20.01%,17.28,19.48
2023-01-20T10,-0.01%,70.55%,0.42%,11.98%,17.06%,17.99,20.29
2023-01-20T11,-0.02%,72.88%,0.43%,12.15%,14.56%,18.51,20.86
2023-01-20T12,-0.01%,72.81%,0.42%,12.03%,14.75%,18.46,20.80
2023-01-20T13,-0.02%,70.42%,0.41%,11.62%,17.57%,17.85,20.11
2023-01-20T14,-0.02%,68.35%,0.38%,10.95%,20.33%,17.23,19.38
2023-01-20T15,-0.02%,67.78%,0.36%,10.26%,21.62%,16.92,18.98
2023-01-20T16,-0.02%,63.10%,0.33%,9.56%,27.02%,15.72,17.63
2023-01-20T17,-0.01%,49.67%,0.32%,9.12%,40.90%,12.85,14.55
2023-01-20T18,-0.01%,41.68%,0.34%,9.50%,48.50%,11.38,13.05
2023-01-20T19,-0.01%,41.01%,0.36%,9.94%,48.70%,11.37,13.09
2023-01-20T20,-0.01%,43.67%,0.37%,10.23%,45.75%,12.00,13.79
2023-01-20T21,-0.02%,44.48%,0.37%,10.38%,44.78%,12.22,14.03
2023-01-20T22,-0.02%,42.08%,0.37%,10.38%,47.19%,11.72,13.50
2023-01-20T23,-0.02%,39.59%,0.38%,10.58%,49.47%,11.26,13.04
2023-01-21T00,-0.02%,43.01%,0.38%,10.59%,46.04%,11.97,13.79
2023-01-21T01,-0.03%,59.36%,0.41%,11.44%,28.82%,15.59,17.72
2023-01-21T02,-0.03%,64.58%,0.38%,10.54%,24.52%,16.42,18.50
2023-01-21T03,-0.03%,64.61%,0.37%,10.28%,24.76%,16.35,18.40
2023-01-21T04,-0.03%,64.88%,0.37%,10.48%,24.30%,16.42,18.49
2023-01-21T05,-0.02%,66.40%,0.38%,10.65%,22.59%,16.83,18.95
2023-01-21T06,-0.02%,69.71%,0.40%,11.21%,18.70%,17.67,19.90
2023-01-21T07,-0.03%,73.57%,0.42%,11.50%,14.54%,18.59,20.93
2023-01-21T08,-0.03%,75.74%,0.43%,11.90%,11.95%,19.16,21.57
2023-01-21T09,-0.03%,73.94%,0.45%,12.27%,13.37%,18.90,21.33
2023-01-21T10,-0.03%,75.30%,0.46%,12.71%,11.56%,19.31,21.81
2023-01-21T11,-0.03%,76.62%,0.48%,13.22%,9.71%,19.73,22.31
2023-01-21T12,-0.03%,76.10%,0.48%,13.24%,10.21%,19.63,22.21
2023-01-21T13,-0.03%,75.37%,0.47%,12.89%,11.30%,19.37,21.90
2023-01-21T14,-0.03%,73.31%,0.46%,12.58%,13.68%,18.85,21.31
2023-01-21T15,-0.03%,70.05%,0.45%,12.28%,17.26%,18.09,20.47
2023-01-21T16,-0.02%,61.58%,0.40%,11.29%,26.76%,16.01,18.15
2023-01-21T17,-0.03%,46.49%,0.39%,10.93%,42.22%,12.78,14.69
2023-01-21T18,-0.03%,38.62%,0.39%,11.01%,50.00%,11.18,13.00
2023-01-21T19,-0.03%,40.63%,0.40%,11.09%,47.91%,11.62,13.47
2023-01-21T20,-0.03%,42.84%,0.41%,11.51%,45.26%,12.20,14.13
2023-01-21T21,-0.03%,45.23%,0.42%,11.78%,42.60%,12.77,14.76
2023-01-21T22,-0.03%,44.93%,0.44%,12.21%,42.44%,12.88,14.94
2023-01-21T23,-0.03%,43.67%,0.45%,12.36%,43.55%,12.67,14.73
2023-01-22T00,-0.03%,42.12%,0.43%,11.87%,45.61%,12.20,14.18
2023-01-22T01,-0.03%,56.98%,0.47%,12.87%,29.71%,15.57,17.86
2023-01-22T02,-0.03%,63.18%,0.44%,12.08%,24.33%,16.61,18.89
2023-01-22T03,-0.03%,64.19%,0.42%,11.84%,23.58%,16.71,18.94
2023-01-22T04,-0.03%,61.61%,0.42%,11.92%,26.07%,16.15,18.35
2023-01-22T05,-0.03%,62.40%,0.40%,12.27%,24.96%,16.11,18.23
2023-01-22T06,-0.03%,67.03%,0.21%,12.75%,20.03%,15.60,17.16
2023-01-22T07,-0.03%,71.71%,0.22%,13.10%,15.00%,16.61,18.25
2023-01-22T08,-0.04%,72.39%,0.23%,13.52%,13.90%,16.81,18.48
2023-01-22T09,-0.03%,68.78%,0.24%,14.40%,16.61%,16.18,17.86
2023-01-22T10,-0.03%,69.09%,0.26%,15.37%,15.31%,16.38,18.12
2023-01-22T11,-0.03%,66.59%,0.25%,15.10%,18.09%,15.82,17.51
2023-01-22T12,-0.03%,65.27%,0.25%,14.95%,19.56%,15.53,17.20
2023-01-22T13,-0.03%,61.98%,0.24%,14.24%,23.58%,14.75,16.33
2023-01-22T14,-0.02%,60.58%,0.23%,13.68%,25.53%,14.39,15.92
2023-01-22T15,-0.03%,60.11%,0.22%,12.92%,26.78%,14.23,15.74
2023-01-22T16,-0.03%,53.67%,0.21%,12.43%,33.72%,12.83,14.23
2023-01-22T17,-0.03%,33.14%,0.22%,12.74%,53.93%,8.63,9.78
2023-01-22T18,-0.03%,26.54%,0.21%,11.92%,61.36%,7.19,8.24
2023-01-22T19,-0.03%,32.04%,0.21%,11.69%,56.08%,8.30,9.40
2023-01-22T20,-0.03%,31.15%,0.21%,12.03%,56.63%,8.16,9.27
2023-01-22T21,-0.03%,29.50%,0.21%,11.77%,58.55%,7.78,8.86
2023-01-22T22,-0.03%,29.25%,0.21%,11.62%,58.95%,7.71,8.77
2023-01-22T23,-0.03%,27.47%,0.21%,11.71%,60.64%,7.36,8.40
2023-01-23T00,-0.03%,29.88%,0.20%,11.40%,58.54%,7.81,8.86
2023-01-23T01,-0.03%,44.92%,0.21%,11.61%,43.29%,10.95,12.21
2023-01-23T02,-0.02%,49.90%,0.19%,10.99%,38.94%,11.85,13.12
2023-01-23T03,-0.03%,52.33%,0.19%,10.88%,36.64%,12.34,13.62
2023-01-23T04,-0.03%,50.98%,0.18%,10.92%,37.94%,12.03,13.28
2023-01-23T05,-0.02%,52.85%,0.19%,11.22%,35.77%,12.45,13.75
2023-01-23T06,-0.03%,56.36%,0.20%,11.67%,31.80%,13.24,14.61
2023-01-23T07,-0.03%,60.69%,0.20%,11.84%,27.29%,14.20,15.65
2023-01-23T08,-0.03%,60.32%,0.22%,12.63%,26.87%,14.24,15.73
2023-01-23T09,-0.04%,61.27%,0.23%,13.38%,25.15%,14.54,16.08
2023-01-23T10,-0.04%,63.84%,0.23%,13.49%,22.47%,15.08,16.67
2023-01-23T11,-0.04%,67.54%,0.23%,13.37%,18.90%,15.83,17.45
2023-01-23T12,-0.03%,67.25%,0.25%,13.50%,19.03%,15.93,17.62
2023-01-23T13,-0.03%,67.49%,0.24%,12.86%,19.43%,15.89,17.54
2023-01-23T14,-0.03%,66.19%,0.22%,11.71%,21.90%,15.49,17.07
2023-01-23T15,-0.03%,65.14%,0.22%,10.56%,24.11%,15.21,16.75
2023-01-23T16,-0.03%,60.26%,0.22%,9.92%,29.62%,14.24,15.73
2023-01-23T17,-0.03%,43.75%,0.28%,9.62%,46.38%,11.28,12.76
2023-01-23T18,-0.02%,32.70%,0.32%,10.15%,56.84%,9.38,10.88
2023-01-23T19,-0.03%,32.60%,0.36%,10.21%,56.86%,9.63,11.24
2023-01-23T20,-0.03%,34.39%,0.27%,10.32%,55.05%,9.33,10.68
2023-01-23T21,-0.03%,35.74%,0.26%,10.34%,53.68%,9.50,10.83
2023-01-23T22,-0.02%,33.40%,0.23%,10.36%,56.03%,8.80,10.00
2023-01-23T23,-0.02%,31.61%,0.26%,10.21%,57.94%,8.66,9.94
2023-01-24T00,-0.03%,34.12%,0.31%,10.29%,55.31%,9.53,10.98
2023-01-24T01,-0.02%,51.59%,0.34%,10.77%,37.33%,13.41,15.20
2023-01-24T02,-0.03%,59.77%,0.36%,10.09%,29.81%,15.25,17.20
2023-01-24T03,-0.03%,63.18%,0.33%,10.01%,26.51%,15.71,17.61
2023-01-24T04,-0.03%,62.04%,0.35%,10.28%,27.35%,15.70,17.67
2023-01-24T05,-0.02%,63.66%,0.38%,10.62%,25.35%,16.24,18.32
2023-01-24T06,0.01%,67.38%,0.40%,11.49%,20.72%,17.15,19.33
2023-01-24T07,0.02%,68.59%,0.42%,12.09%,18.89%,17.56,19.83
2023-01-24T08,0.02%,70.76%,0.45%,12.74%,16.03%,18.28,20.69
2023-01-24T09,0.01%,73.40%,0.49%,13.46%,12.64%,19.13,21.70
2023-01-24T10,0.01%,73.91%,0.43%,13.68%,11.97%,18.77,21.15
2023-01-24T11,0.02%,73.83%,0.25%,13.95%,11.95%,17.27,19.03
2023-01-24T12,0.02%,74.81%,0.24%,13.49%,11.45%,17.41,19.15
2023-01-24T13,0.02%,73.94%,0.23%,12.98%,12.83%,17.15,18.86
2023-01-24T14,0.02%,67.82%,0.22%,12.20%,19.74%,15.78,17.36
2023-01-24T15,0.01%,64.89%,0.19%,11.02%,23.88%,15.00,16.47
2023-01-24T16,0.02%,60.79%,0.19%,10.65%,28.35%,14.10,15.50
2023-01-24T17,0.01%,45.44%,0.18%,10.15%,44.22%,10.85,12.03
2023-01-24T18,0.01%,33.18%,0.19%,10.37%,56.25%,8.39,9.44
2023-01-24T19,0.01%,34.07%,0.20%,10.69%,55.03%,8.65,9.76
2023-01-24T20,0.01%,38.36%,0.20%,11.00%,50.43%,9.59,10.76
2023-01-24T21,0.01%,39.52%,0.21%,11.20%,49.06%,9.86,11.06
2023-01-24T22,0.02%,40.46%,0.21%,11.09%,48.23%,10.04,11.24
2023-01-24T23,0.01%,37.60%,0.20%,10.88%,51.30%,9.41,10.57
2023-01-25T00,0.02%,39.19%,0.21%,11.19%,49.38%,9.79,10.99
2023-01-25T01,0.02%,54.05%,0.22%,12.07%,33.63%,13.00,14.43
2023-01-25T02,0.02%,61.38%,0.22%,11.59%,26.79%,14.44,15.94
2023-01-25T03,0.01%,64.44%,0.21%,11.05%,24.28%,14.99,16.50
2023-01-25T04,0.02%,64.66%,0.20%,10.96%,24.16%,15.02,16.53
2023-01-25T05,0.01%,65.75%,0.23%,11.14%,22.86%,15.47,17.08
2023-01-25T06,0.02%,68.50%,0.31%,11.65%,19.52%,16.67,18.57
2023-01-25T07,0.02%,72.31%,0.44%,12.47%,14.76%,18.52,20.92
2023-01-25T08,0.02%,73.50%,0.48%,12.95%,13.06%,19.05,21.58
2023-01-25T09,0.02%,74.69%,0.49%,13.43%,11.38%,19.44,22.04
2023-01-25T10,0.02%,77.45%,0.49%,13.78%,8.26%,20.02,22.66
2023-01-25T11,0.02%,77.93%,0.50%,13.74%,7.82%,20.15,22.82
2023-01-25T12,0.02%,76.76%,0.51%,13.64%,9.08%,19.98,22.66
2023-01-25T13,0.02%,74.12%,0.48%,12.81%,12.57%,19.19,21.73
2023-01-25T14,0.02%,71.56%,0.46%,12.36%,15.60%,18.52,20.97
2023-01-25T15,0.01%,65.93%,0.41%,11.10%,22.55%,16.94,19.15
2023-01-25T16,0.02%,59.91%,0.37%,10.31%,29.39%,15.39,17.39
2023-01-25T17,0.02%,46.76%,0.35%,9.73%,43.15%,12.53,14.31
2023-01-25T18,0.02%,34.35%,0.37%,10.06%,55.20%,10.13,11.83
2023-01-25T19,0.02%,33.44%,0.40%,10.41%,55.73%,10.16,11.94
2023-01-25T20,0.02%,37.51%,0.40%,10.45%,51.62%,11.01,12.85
2023-01-25T21,0.02%,40.31%,0.38%,10.56%,48.73%,11.44,13.24
2023-01-25T22,0.01%,40.05%,0.38%,10.52%,49.04%,11.37,13.17
2023-01-25T23,0.02%,35.74%,0.39%,10.65%,53.20%,10.56,12.33
2023-01-26T00,0.01%,38.55%,0.39%,10.48%,50.57%,11.13,12.93
2023-01-26T01,0.02%,54.06%,0.41%,10.79%,34.73%,14.47,16.52
2023-01-26T02,0.02%,61.28%,0.41%,10.97%,27.32%,15.98,18.13
2023-01-26T03,0.02%,61.36%,0.40%,10.72%,27.50%,15.96,18.09
2023-01-26T04,0.02%,61.34%,0.40%,10.62%,27.62%,15.92,18.05
2023-01-26T05,0.02%,62.50%,0.40%,10.57%,26.51%,16.15,18.28
2023-01-26T06,0.02%,64.97%,0.41%,10.91%,23.70%,16.72,18.91
2023-01-26T07,0.02%,67.72%,0.43%,11.62%,20.21%,17.50,19.81
2023-01-26T08,0.02%,67.35%,0.46%,12.14%,20.04%,17.62,20.00
2023-01-26T09,0.02%,70.40%,0.48%,12.88%,16.21%,18.48,21.00
2023-01-26T10,0.02%,74.47%,0.49%,13.05%,11.97%,19.33,21.91
2023-01-26T11,0.02%,75.67%,0.50%,13.46%,10.35%,19.71,22.35
2023-01-26T12,0.03%,75.22%,0.50%,13.54%,10.71%,19.64,22.29
2023-01-26T13,0.02%,74.22%,0.49%,13.09%,12.18%,19.34,21.94
2023-01-26T14,0.02%,69.02%,0.45%,11.96%,18.55%,17.92,20.30
2023-01-26T15,0.01%,62.42%,0.40%,10.68%,26.49%,16.16,18.30
2023-01-26T16,0.01%,55.61%,0.38%,10.25%,33.74%,14.59,16.57
2023-01-26T17,0.01%,38.18%,0.38%,10.17%,51.25%,11.00,12.77
2023-01-26T18,0.01%,25.39%,0.39%,10.56%,63.64%,8.43,10.08
2023-01-26T19,0.02%,26.61%,0.40%,10.85%,62.12%,8.77,10.47
2023-01-26T20,0.02%,28.16%,0.41%,11.05%,60.36%,9.15,10.90
2023-01-26T21,0.01%,29.34%,0.41%,11.14%,59.09%,9.42,11.19
2023-01-26T22,0.01%,27.99%,0.41%,11.11%,60.48%,9.13,10.88
2023-01-26T23,0.02%,27.82%,0.42%,11.04%,60.71%,9.12,10.88
2023-01-27T00,0.01%,32.46%,0.42%,11.24%,55.86%,10.14,11.98
2023-01-27T01,0.02%,50.28%,0.46%,12.33%,36.91%,14.16,16.36
2023-01-27T02,0.02%,58.23%,0.46%,12.24%,29.04%,15.78,18.07
2023-01-27T03,0.02%,60.09%,0.44%,11.87%,27.58%,15.96,18.19
2023-01-27T04,0.02%,59.27%,0.44%,11.82%,28.46%,15.82,18.05
2023-01-27T05,0.02%,62.36%,0.45%,12.19%,24.98%,16.57,18.88
2023-01-27T06,0.01%,64.86%,0.50%,13.18%,21.45%,17.43,19.91
2023-01-27T07,0.02%,67.91%,0.51%,13.71%,17.85%,18.22,20.81
2023-01-27T08,0.03%,70.98%,0.56%,14.88%,13.56%,19.26,22.06
2023-01-27T09,0.03%,74.33%,0.54%,14.13%,10.97%,19.72,22.47
2023-01-27T10,0.03%,76.99%,0.54%,14.32%,8.12%,20.28,23.07
2023-01-27T11,0.04%,78.33%,0.54%,14.34%,6.75%,20.57,23.38
2023-01-27T12,0.03%,78.15%,0.53%,14.18%,7.11%,20.48,23.27
2023-01-27T13,0.03%,73.60%,0.51%,13.57%,12.29%,19.35,22.01
2023-01-27T14,0.02%,68.70%,0.46%,12.13%,18.69%,17.90,20.31
2023-01-27T15,0.01%,66.17%,0.42%,11.03%,22.37%,17.08,19.33
2023-01-27T16,0.02%,60.45%,0.40%,10.66%,28.47%,15.75,17.86
2023-01-27T17,0.02%,39.23%,0.40%,10.83%,49.52%,11.37,13.23
2023-01-27T18,0.02%,29.81%,0.40%,10.85%,58.92%,9.43,11.17
2023-01-27T19,0.03%,32.25%,0.43%,11.48%,55.82%,10.13,11.98
2023-01-27T20,0.03%,33.60%,0.43%,11.60%,54.34%,10.44,12.32
2023-01-27T21,0.03%,33.79%,0.43%,11.71%,54.04%,10.51,12.41
2023-01-27T22,0.03%,31.61%,0.43%,11.49%,56.45%,10.00,11.84
2023-01-27T23,0.02%,31.10%,0.43%,11.46%,57.00%,9.88,11.71
2023-01-28T00,0.02%,36.37%,0.41%,11.19%,52.01%,10.85,12.70
2023-01-28T01,0.03%,51.40%,0.44%,11.98%,36.14%,14.23,16.39
2023-01-28T02,0.04%,59.20%,0.43%,11.55%,28.79%,15.72,17.92
2023-01-28T03,0.03%,57.85%,0.42%,11.21%,30.49%,15.34,17.48
2023-01-28T04,0.03%,58.48%,0.41%,11.16%,29.92%,15.45,17.59
2023-01-28T05,0.03%,57.42%,0.42%,11.39%,30.74%,15.31,17.46
2023-01-28T06,0.04%,63.54%,0.44%,11.78%,24.21%,16.69,18.97
2023-01-28T07,0.04%,67.71%,0.46%,12.41%,19.38%,17.74,20.15
2023-01-28T08,0.04%,67.62%,0.50%,13.35%,18.50%,18.00,20.53
2023-01-28T09,0.04%,63.22%,0.57%,15.30%,20.87%,17.68,20.39
2023-01-28T10,0.04%,67.17%,0.59%,15.99%,16.21%,18.70,21.56
2023-01-28T11,0.04%,68.39%,0.60%,16.11%,14.87%,18.99,21.87
2023-01-28T12,0.06%,67.89%,0.57%,16.20%,15.28%,18.68,21.48
2023-01-28T13,0.05%,66.81%,0.54%,15.71%,16.89%,18.20,20.88
2023-01-28T14,0.03%,66.34%,0.50%,14.46%,18.67%,17.75,20.27
2023-01-28T15,0.03%,65.22%,0.47%,13.60%,20.67%,17.33,19.76
2023-01-28T16,0.03%,54.70%,0.45%,12.89%,31.92%,14.96,17.17
2023-01-28T17,0.02%,32.06%,0.43%,12.50%,54.99%,10.12,11.99
2023-01-28T18,0.03%,28.47%,0.43%,12.34%,58.74%,9.34,11.14
2023-01-28T19,0.02%,31.26%,0.43%,12.62%,55.66%,9.94,11.79
2023-01-28T20,0.02%,32.88%,0.44%,13.06%,53.59%,10.40,12.32
2023-01-28T21,0.02%,34.25%,0.47%,13.64%,51.62%,10.89,12.91
2023-01-28T22,0.02%,32.36%,0.46%,13.46%,53.70%,10.45,12.43
2023-01-28T23,0.02%,30.42%,0.46%,13.35%,55.74%,10.02,11.96
2023-01-29T00,0.04%,34.22%,0.45%,13.23%,52.07%,10.72,12.68
2023-01-29T01,0.04%,44.57%,0.48%,14.22%,40.67%,13.14,15.34
2023-01-29T02,0.04%,50.21%,0.47%,13.52%,35.76%,14.21,16.44
2023-01-29T03,0.03%,51.63%,0.46%,13.25%,34.63%,14.43,16.64
2023-01-29T04,0.03%,53.11%,0.45%,12.96%,33.45%,14.65,16.85
2023-01-29T05,0.03%,55.38%,0.46%,13.19%,30.94%,15.18,17.44
2023-01-29T06,0.04%,56.18%,0.47%,13.61%,29.71%,15.42,17.72
2023-01-29T07,0.04%,61.35%,0.48%,14.06%,24.07%,16.61,19.03
2023-01-29T08,0.04%,59.08%,0.49%,14.50%,25.88%,16.22,18.63
2023-01-29T09,0.05%,56.11%,0.53%,15.47%,27.84%,15.87,18.35
2023-01-29T10,0.05%,57.30%,0.53%,15.68%,26.44%,16.17,18.69
2023-01-29T11,0.04%,58.11%,0.54%,16.00%,25.30%,16.43,19.00
2023-01-29T12,0.04%,58.69%,0.54%,15.84%,24.89%,16.50,19.06
2023-01-29T13,0.04%,58.21%,0.53%,15.70%,25.51%,16.36,18.91
2023-01-29T14,0.04%,55.64%,0.50%,14.55%,29.26%,15.57,17.97
2023-01-29T15,0.02%,53.20%,0.47%,13.73%,32.58%,14.83,17.10
2023-01-29T16,0.02%,47.01%,0.44%,12.86%,39.67%,13.31,15.40
2023-01-29T17,0.02%,33.70%,0.40%,12.00%,53.88%,10.23,12.02
2023-01-29T18,0.02%,33.25%,0.38%,11.41%,54.94%,9.98,11.70
2023-01-29T19,0.02%,33.53%,0.38%,11.06%,55.01%,10.02,11.74
2023-01-29T20,0.02%,32.78%,0.38%,11.11%,55.71%,9.88,11.59
2023-01-29T21,-0.01%,34.46%,0.38%,11.10%,54.07%,10.22,11.95
2023-01-29T22,-0.02%,33.52%,0.39%,11.43%,54.67%,10.12,11.87
