period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-14T09,0.02%,61.97%,0.55%,15.54%,21.92%,17.24,19.87
2023-01-14T10,0.02%,59.47%,0.60%,16.75%,23.17%,17.13,19.89
2023-01-14T11,0.02%,59.11%,0.59%,16.91%,23.37%,17.04,19.79
2023-01-14T12,0.02%,59.00%,0.62%,17.61%,22.76%,17.21,20.05
2023-01-14T13,0.02%,58.25%,0.61%,17.37%,23.74%,16.99,19.79
2023-01-14T14,0.02%,57.27%,0.58%,16.51%,25.61%,16.54,19.23
2023-01-14T15,0.03%,57.56%,0.54%,15.45%,26.42%,16.30,18.87
2023-01-14T16,0.03%,56.54%,0.52%,14.90%,28.01%,15.94,18.42
2023-01-14T17,0.02%,55.10%,0.49%,14.01%,30.37%,15.34,17.68
2023-01-14T18,0.03%,53.89%,0.46%,13.28%,32.34%,14.88,17.12
2023-01-14T19,0.03%,54.73%,0.46%,13.29%,31.49%,15.06,17.31
2023-01-14T20,0.03%,52.77%,0.47%,13.47%,33.26%,14.70,16.95
2023-01-14T21,0.04%,51.79%,0.46%,13.34%,34.38%,14.46,16.68
2023-01-14T22,0.04%,51.93%,0.46%,13.17%,34.41%,14.44,16.64
2023-01-14T23,0.02%,55.29%,0.46%,13.40%,30.82%,15.15,17.40
2023-01-15T00,0.02%,58.47%,0.46%,13.35%,27.70%,15.79,18.07
2023-01-15T01,0.02%,59.63%,0.43%,12.39%,27.54%,15.81,18.01
2023-01-15T02,0.02%,58.67%,0.41%,11.89%,29.01%,15.47,17.60
2023-01-15T03,0.02%,57.17%,0.43%,12.50%,29.89%,15.29,17.45
2023-01-15T04,0.02%,55.96%,0.44%,12.54%,31.04%,15.14,17.33
2023-01-15T05,0.02%,57.39%,0.45%,12.88%,29.25%,15.53,17.78
2023-01-15T06,0.02%,56.65%,0.45%,12.92%,29.95%,15.39,17.64
2023-01-15T07,0.02%,55.67%,0.47%,13.21%,30.63%,15.32,17.60
2023-01-15T08,0.02%,54.91%,0.49%,13.88%,30.70%,15.30,17.64
2023-01-15T09,0.02%,54.76%,0.50%,14.24%,30.49%,15.37,17.75
2023-01-15T10,0.02%,54.58%,0.51%,14.40%,30.48%,15.43,17.85
2023-01-15T11,0.02%,54.65%,0.52%,14.71%,30.10%,15.48,17.92
2023-01-15T12,0.03%,53.68%,0.53%,14.93%,30.84%,15.39,17.86
2023-01-15T13,0.03%,55.18%,0.52%,14.71%,29.56%,15.64,18.11
2023-01-15T14,0.02%,55.27%,0.50%,14.35%,29.86%,15.51,17.91
2023-01-15T15,0.02%,52.82%,0.51%,14.40%,32.26%,15.02,17.39
2023-01-15T16,0.01%,48.70%,0.49%,14.03%,36.76%,14.06,16.34
2023-01-15T17,0.01%,43.64%,0.48%,13.93%,41.94%,12.93,15.11
2023-01-15T18,0.02%,42.38%,0.48%,13.67%,43.45%,12.65,14.81
2023-01-15T19,0.02%,43.36%,0.45%,12.87%,43.30%,12.63,14.71
2023-01-15T20,0.02%,43.27%,0.45%,12.90%,43.36%,12.62,14.70
2023-01-15T21,0.02%,43.91%,0.46%,13.07%,42.54%,12.80,14.91
2023-01-15T22,0.02%,43.03%,0.47%,13.36%,43.13%,12.70,14.83
2023-01-15T23,0.02%,47.12%,0.48%,13.63%,38.75%,13.62,15.84
2023-01-16T00,0.02%,56.01%,0.48%,13.79%,29.69%,15.51,17.85
2023-01-16T01,0.02%,57.72%,0.46%,13.09%,28.71%,15.66,17.94
2023-01-16T02,0.02%,58.74%,0.43%,12.14%,28.68%,15.60,17.78
2023-01-16T03,0.02%,57.37%,0.42%,11.97%,30.23%,15.23,17.36
2023-01-16T04,0.02%,58.70%,0.42%,12.12%,28.75%,15.50,17.65
2023-01-16T05,0.02%,57.99%,0.42%,12.24%,29.33%,15.39,17.53
