period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-10-01T06,12.10%,38.03%,9.73%,0.00%,40.13%,13.54,8.71
2023-10-01T07,11.50%,39.82%,10.28%,0.00%,38.40%,13.39,8.57
2023-10-01T08,11.76%,41.52%,10.77%,0.00%,35.94%,13.81,8.83
2023-10-01T09,11.94%,43.24%,11.19%,0.00%,33.64%,14.18,9.05
2023-10-01T10,12.58%,45.13%,11.46%,0.00%,30.83%,14.87,9.50
2023-10-01T11,14.20%,47.12%,11.61%,0.00%,27.07%,16.24,10.41
2023-10-01T12,17.21%,48.03%,11.62%,0.00%,23.14%,18.39,11.89
2023-10-01T13,18.36%,48.10%,11.58%,0.00%,21.96%,19.17,12.44
2023-10-01T14,16.30%,45.69%,11.09%,0.00%,26.92%,17.44,11.28
2023-10-01T15,16.64%,42.74%,10.23%,0.00%,30.40%,17.25,11.20
2023-10-01T16,15.59%,39.47%,9.42%,0.00%,35.52%,16.08,10.45
2023-10-01T17,13.97%,38.16%,8.72%,0.00%,39.15%,14.81,9.59
2023-10-01T18,13.51%,40.36%,8.20%,0.00%,37.93%,14.82,9.55
2023-10-01T19,14.76%,42.33%,7.84%,0.00%,35.07%,15.93,10.29
2023-10-01T20,14.94%,44.18%,7.56%,0.00%,33.32%,16.32,10.52
2023-10-01T21,15.40%,45.02%,7.43%,0.00%,32.15%,16.75,10.81
2023-10-01T22,15.78%,45.56%,7.38%,0.00%,31.28%,17.08,11.03
2023-10-01T23,15.38%,44.73%,7.45%,0.00%,32.44%,16.69,10.77
2023-10-02T00,15.90%,46.77%,7.65%,0.00%,29.69%,17.33,11.18
2023-10-02T01,17.17%,50.08%,7.85%,0.00%,24.89%,18.66,12.04
2023-10-02T02,16.72%,49.68%,8.05%,0.00%,25.54%,18.30,11.80
2023-10-02T03,15.44%,48.33%,8.43%,0.00%,27.80%,17.25,11.09
2023-10-02T04,13.98%,46.31%,8.98%,0.00%,30.74%,15.98,10.24
2023-10-02T05,13.50%,43.24%,9.63%,0.00%,33.63%,15.22,9.78
2023-10-02T06,11.72%,41.62%,10.28%,0.00%,36.38%,13.80,8.81
2023-10-02T07,10.90%,40.12%,10.79%,0.00%,38.19%,13.04,8.31
2023-10-02T08,11.17%,41.64%,11.12%,0.00%,36.07%,13.44,8.56
